Customer_ID,Name,Age,Gender,Email,Phone_Number,Address,Purchase_Amount,Last_Purchase_Date,Preferred_Payment_Method,Feedback_Score,Loyalty_Member
3f524cd7-ff15-4aad-a81e-b0e4dc0753a9,Jacob Perez,51,Female,beckerkim@gmail.com,8044538707,"45596 Joann Causeway
Lake Alexmouth, NM 33597",164.99,2021-01-05,Credit Card,1,No
504fa798-c34f-4cd8-adbf-e08f638b1a63,Lisa Pena,43,Female,steven45@lamb-johnson.biz,8096781319,"52767 Foster Passage Apt. 334
Robinland, RI 02967",949.38,2021-01-29,Credit Card,5,Yes
17e06a52-ca9d-4627-997b-9d4a04df58c2,Mr. Brandon Escobar,25,Female,hollandjustin@jennings-george.com,331680538482795,"425 Chandler Creek Suite 353
Robertview, AR 57713",715.91,2023-11-29,Debit Card,3,Yes
c33c66a7-ab4c-4671-98ff-cc032869e800,John Holt,61,Female,rbeard@thomas.com,,"339 Horton Drives
New Brandonmouth, MS 28073",392.45,2024-02-03,Paypal,2,No
c9fb0d80-b482-487a-a111-a4863fef3dc2,Kayla Payne,57,Other,bauerbilly@johnson-morris.net,19408833548,"95891 Richard Motorway
New Tiffanyport, NM 76978",509.9,2024-08-12,Debit Card,4,Yes
836a45d3-17f9-49e6-963f-17ffb5ca0813,Anthony Wade,28,Male,david38@yahoo.com,6742123845,"89217 Stacie Junction
Johnsonport, DC 17888",907.45,2022-09-21,Paypal,1,No
26152e8e-f41d-4c22-ab92-d2f69b89ca64,Richard Williams,38,Other,kpeterson@gmail.com,2217487736881,"7192 Jose Lodge
Bennettton, CO 93649",553.87,2024-07-30,Credit Card,4,Yes
baf75b39-587b-45a0-9eed-99f0fd3c1abe,Miss Bonnie Payne,52,Male,fholden@kennedy-hurst.com,9951099405018,"637 Harrell Lock Suite 819
Port Andreaview, AK 60443",417.37,2023-02-04,Debit Card,5,No
33926b56-361f-4f06-a6d8-fd17cad339d7,Crystal Pierce,20,Other,owalker@obrien.biz,3921493238,"0031 Jacob Isle Apt. 295
Lake Kevinchester, UT 77228",809.62,2024-11-08,Paypal,3,Yes
b05cca71-7d38-4b1e-a931-928e620f5286,Brooke Anderson,62,Male,dianesanchez@gmail.com,7006289888,"4053 Parker Mountain
South Robinfurt, CT 19761",612.52,2024-02-27,Credit Card,1,No
c0753aa6-2ccf-4420-ae97-7eac84f2fa2e,Jeffrey Saunders,28,Other,phillipstracy@hotmail.com,0236089747,"71842 Morrison River
New Jimmyburgh, AR 15985",239.35,2025-03-06,Credit Card,3,No
72f12f88-5879-499c-ab78-8214b59fdc37,Shaun Frost,36,Male,judyhunt@gmail.com,185848511126609,"71746 Manning Streets
North Andrewland, MD 63620",286.59,2023-09-25,Credit Card,1,Yes
